Id persona,Sexo,Rol,Departamento,Subsistema,Año lectivo,Cantidad de días ingreso a CREA,Cantidad de Comentarios posteados,Cantidad de Acciones totales,Cantidad de días de ingreso a Biblioteca,Cantidad de préstamos en biblioteca
6651,Femenino,Docente,Tacuarembo,DGES,2020,11,0,12,0,0
9251,Masculino,Docente,Florida,DGES,2020,131,45,962,0,0
9409,Masculino,Docente,Flores,DGES,2020,49,5,110,1,1
9569,Femenino,Docente,Florida,DGES,2020,34,11,241,1,2
9629,Femenino,Docente,Florida,DGEIP,2020,138,104,1066,14,5
9667,Femenino,Docente,Florida,DGEIP,2020,0,0,0,0,0
9674,Femenino,Docente,Canelones,DGEIP,2020,155,125,1033,0,0
9724,Masculino,Docente,Florida,DGEIP,2020,1,0,2,0,0
9865,Masculino,Docente,Florida,DGES,2020,77,34,270,0,0
9974,Femenino,Docente,Canelones,DGEIP,2020,126,219,1034,0,0
10058,Femenino,Docente,Florida,DGES,2020,172,60,613,11,2
10058,Femenino,Docente,Durazno,DGETP,2020,172,60,613,11,2
10242,Femenino,Docente,Florida,DGETP,2020,95,108,563,1,1
10242,Femenino,Docente,Florida,DGES,2020,95,108,563,1,1
10722,Femenino,Docente,Montevideo,DGETP,2020,68,27,248,0,0
10763,Femenino,Docente,Florida,DGEIP,2020,8,0,11,0,0
10770,Femenino,Docente,Florida,DGES,2020,38,26,143,4,1
10771,Femenino,Docente,Canelones,DGEIP,2020,208,1,2154,4,8
11011,Femenino,Docente,Florida,DGES,2020,156,37,948,13,5
11060,Masculino,Docente,Canelones,DGES,2020,80,0,296,2,1
11068,Femenino,Docente,Canelones,DGEIP,2020,168,199,1457,5,7
11071,Femenino,Docente,Florida,DGEIP,2020,0,0,0,1,1
11225,Femenino,Docente,Florida,DGES,2020,62,10,404,1,1
11241,Femenino,Docente,Florida,DGEIP,2020,17,6,42,0,0
11499,Femenino,Docente,Canelones,DGEIP,2020,106,18,622,1,1
11520,Masculino,Docente,Florida,DGES,2020,212,57,1420,0,0
11692,Femenino,Docente,Canelones,DGEIP,2020,41,20,220,1,1
11693,Femenino,Docente,Canelones,DGEIP,2020,149,267,1037,0,0
11706,Femenino,Docente,Florida,DGES,2020,177,193,684,16,0
12149,Femenino,Docente,Canelones,DGEIP,2020,15,2,151,0,0
12613,Femenino,Docente,Florida,DGEIP,2020,38,5,61,1,1
12628,Femenino,Docente,Florida,DGEIP,2020,1,0,1,0,0
12663,Femenino,Docente,Florida,DGEIP,2020,43,44,511,3,2
12721,Femenino,Docente,Canelones,DGES,2020,149,153,1450,4,1
12721,Femenino,Docente,Canelones,DGETP,2020,149,153,1450,4,1
12760,Femenino,Docente,Canelones,DGEIP,2020,223,828,2744,1,2
12893,Femenino,Docente,Florida,DGEIP,2020,26,11,155,0,0
12972,Femenino,Docente,Florida,DGES,2020,134,86,1309,4,3
12988,Masculino,Docente,San Jose,DGES,2020,168,606,2706,2,0
12988,Masculino,Docente,San Jose,DGETP,2020,168,606,2706,2,0
13272,Femenino,Docente,Florida,DGES,2020,187,56,717,0,0
13273,Femenino,Docente,Florida,DGES,2020,84,15,351,3,3
13308,Masculino,Docente,Florida,DGES,2020,64,17,617,0,0
13308,Masculino,Docente,Florida,DGETP,2020,64,17,617,0,0
13320,Femenino,Docente,Florida,DGES,2020,92,254,3057,0,0
13577,Masculino,Docente,San Jose,DGES,2020,117,11,509,5,3
13577,Masculino,Docente,Canelones,DGETP,2020,117,11,509,5,3
13683,Femenino,Docente,Florida,DGES,2020,12,0,18,0,0
13700,Femenino,Docente,Canelones,DGEIP,2020,110,28,566,0,0
13816,Masculino,Docente,Florida,DGES,2020,60,43,247,1,1
13826,Femenino,Docente,Florida,DGES,2020,5,0,7,0,0
13861,Femenino,Docente,Canelones,DGEIP,2020,95,33,1291,1,0
13997,Femenino,Docente,Montevideo,DGEIP,2020,18,0,76,0,0
14007,Femenino,Docente,Florida,DGES,2020,102,16,4521,0,0
14009,Femenino,Docente,Florida,DGES,2020,166,73,481,4,4
14151,Femenino,Docente,Florida,DGES,2020,127,40,888,20,4
14151,Femenino,Docente,Florida,DGETP,2020,127,40,888,20,4
14182,Femenino,Docente,Florida,DGES,2020,131,147,917,3,2
14250,Femenino,Docente,Florida,DGES,2020,82,26,201,36,2
14449,Femenino,Docente,Canelones,DGEIP,2020,13,0,39,1,2
14456,Femenino,Docente,Canelones,DGEIP,2020,64,23,259,4,3
14482,Femenino,Docente,Florida,DGEIP,2020,6,0,7,0,0
14654,Masculino,Docente,Durazno,DGES,2020,60,0,331,10,2
14708,Femenino,Docente,Canelones,DGES,2020,243,70,1546,1,0
14708,Femenino,Docente,Canelones,DGETP,2020,243,70,1546,1,0
14709,Femenino,Docente,Florida,DGEIP,2020,7,0,11,2,5
14846,Masculino,Docente,Florida,DGES,2020,150,31,1455,1,0
14862,Femenino,Docente,Canelones,DGEIP,2020,20,1,86,9,6
14867,Masculino,Docente,San Jose,DGES,2020,96,30,673,1,1
14869,Masculino,Docente,Lavalleja,DGES,2020,74,3,336,6,2
15081,Masculino,Docente,Florida,DGES,2020,81,28,319,1,0
