Id persona,Sexo,Rol,Departamento,Subsistema,Año lectivo,Cantidad de días ingreso a CREA,Cantidad de Comentarios posteados,Cantidad de Acciones totales,Cantidad de días de ingreso a Biblioteca,Cantidad de préstamos en biblioteca
6651,Femenino,Docente,Tacuarembo,DGES,2019,0,0,0,0,0
9251,Masculino,Docente,Florida,DGES,2019,9,0,9,0,0
9569,Femenino,Docente,Florida,DGES,2019,4,0,5,0,0
9629,Femenino,Docente,Canelones,DGEIP,2019,48,14,200,9,5
9674,Femenino,Docente,Canelones,DGEIP,2019,65,0,260,1,1
9724,Masculino,Docente,Florida,DGEIP,2019,0,0,0,0,0
10044,Masculino,Docente,Florida,DGES,2019,2,0,5,32,3
10058,Femenino,Docente,Durazno,DGES,2019,29,17,77,3,3
10242,Femenino,Docente,Florida,DGES,2019,1,0,1,0,0
10242,Femenino,Docente,Florida,DGETP,2019,1,0,1,0,0
10751,Masculino,Docente,Florida,DGES,2019,6,0,5,0,0
10763,Femenino,Docente,Canelones,DGEIP,2019,0,0,0,0,0
10771,Femenino,Docente,Canelones,DGEIP,2019,38,5,142,2,1
10778,Femenino,Docente,Florida,DGES,2019,3,0,3,0,0
11052,Femenino,Docente,Florida,DGES,2019,0,0,0,0,0
11060,Masculino,Docente,Florida,DGES,2019,119,12,439,6,4
11068,Femenino,Docente,Canelones,DGEIP,2019,7,0,19,3,4
11071,Femenino,Docente,Canelones,DGEIP,2019,0,0,0,0,0
11225,Femenino,Docente,Florida,DGES,2019,29,8,60,0,0
11241,Femenino,Docente,Florida,DGEIP,2019,0,0,0,0,0
11499,Femenino,Docente,Canelones,DGEIP,2019,1,0,3,0,0
11517,Masculino,Docente,Florida,DGES,2019,91,5,195,2,1
11520,Masculino,Docente,Florida,DGES,2019,16,3,22,0,0
11600,Masculino,Docente,Florida,DGES,2019,1,0,2,0,0
11600,Masculino,Docente,Florida,DGETP,2019,1,0,2,0,0
11692,Femenino,Docente,Canelones,DGEIP,2019,33,10,109,1,1
12149,Femenino,Docente,Canelones,DGEIP,2019,0,0,0,1,1
12622,Femenino,Docente,Florida,DGES,2019,4,0,4,2,2
12663,Femenino,Docente,Florida,DGEIP,2019,0,0,0,0,0
12721,Femenino,Docente,Canelones,DGES,2019,6,0,6,13,3
12760,Femenino,Docente,Canelones,DGEIP,2019,63,15,177,0,0
12972,Femenino,Docente,Florida,DGES,2019,3,0,2,0,0
12988,Masculino,Docente,San Jose,DGES,2019,0,0,0,2,2
13064,Femenino,Docente,Montevideo,DGES,2019,6,2,13,20,17
13308,Masculino,Docente,Florida,DGES,2019,0,0,0,0,0
13320,Femenino,Docente,Florida,DGES,2019,0,0,0,0,0
13577,Masculino,Docente,Florida,DGES,2019,3,0,4,2,2
13689,Femenino,Docente,Florida,DGETP,2019,0,0,0,0,0
